[RunNo]	[DetNo]	[Date]	[Full Time]	[Live Time]	[VetoEff]	[AdMu]	[ShMu]	[WpMu]	[NetMu]	[muRate]
21222	1	1324800677	121491	102950	0.84739	2011519	18370	17050448	15709644	152.595
21229	1	1324949982	167181	141670	0.847402	2744672	25453	25988668	21549368	152.11
21238	1	1325119719	170879	144742	0.847042	2789161	25967	24391709	22106324	152.729
21353	1	1325305714	137718	116663	0.847116	2234874	20885	19582467	17826199	152.801
21361	1	1325461904	172473	146026	0.846657	2781835	26510	24495736	22269348	152.503
21370	1	1325647276	196750	166691	0.847224	3148878	29831	28129888	25484468	152.884
21397	1	1325778307	61939.7	52460.3	0.846957	991488	9319	8990831	8065304	153.741
21500	1	1325911924	138921	117753	0.847623	2220170	20719	20124762	18072809	153.481
21511	1	1326069344	172442	146072	0.847077	2759346	26057	24935051	22393567	153.305
21519	1	1326248957	167486	141832	0.84683	2687498	25404	24189483	21746488	153.325
21534	1	1326370533	63070.5	53379.2	0.846343	1006352	9666	9124166	8182489	153.29
21543	1	1326466841	72659.4	61603.8	0.847843	1160618	10977	10275581	9388519	152.402
21647	1	1326602377	145262	123094	0.847393	2320659	22295	20334108	18722853	152.102
21663	1	1326703672	55495.8	47000.6	0.846921	886253	8557	7790490	7162344	152.388
21664	1	1326808972	78810.3	66819.1	0.847847	1258779	11968	11044121	10169593	152.196
21679	1	1326874043	42899.1	36368.1	0.847759	684827	6535	6012054	5535000	152.194
21692	1	1326960683	2432.99	2061.27	0.847219	39396	380	341798	313668	152.172
21695	1	1326993107	55892.6	47467.2	0.849256	895920	8241	7841434	7221369	152.134
21786	1	1327070467	41915.9	35527.8	0.847597	667580	6404	5893064	5407956	152.218
21813	1	1327153451	73618.7	62443	0.848195	1173286	11113	10355444	9494727	152.054
21826	1	1327240833	75253.8	63803.9	0.847849	1204673	11482	10477430	9681600	151.74
21832	1	1327279156	385.598	324.731	0.842149	6178	65	53849	49480	152.372
21833	1	1327366821	168715	143126	0.84833	2685481	25474	23499542	21721192	151.763
21851	1	1327495059	81243.4	68930	0.848438	1299120	12273	11308572	10458873	151.732
21856	1	1327580917	87414.5	74131.1	0.848042	1392961	13272	12172349	11244197	151.68
21864	1	1327644613	35534.3	30115.8	0.847514	566039	5437	4954516	4571875	151.81
21874	1	1327687250	48985.8	41575.4	0.848723	779845	7348	6829350	6306278	151.683
21952	1	1327769497	55198.6	46855.8	0.848858	878477	8258	7708288	7116293	151.877
21975	1	1327846927	77712.5	65896.5	0.847953	1245250	11772	10830928	10005867	151.842
21985	1	1327920932	69286	58761.2	0.848096	1109966	10500	9664058	8929333	151.96
21998	1	1328016768	83465.1	70780.5	0.848025	1333383	12680	11637035	10746358	151.827
22011	1	1328144912	171292	145343	0.848511	2741236	25757	23878529	22064459	151.81
22103	1	1328285507	63135.5	53547.7	0.848138	1003506	9554	8821976	8136984	151.958
22121	1	1328403362	169742	143985	0.848254	2706715	25596	23736877	21909635	152.166
22131	1	1328576637	151066	128106	0.848017	2410036	22891	21128866	19494238	152.172
22151	1	1328751920	166397	141143	0.848233	2644681	25154	23266675	21455953	152.015
22232	1	1328893485	56760.8	48124.3	0.847844	908766	8629	7951193	7331661	152.348
22262	1	1329008411	171965	146013	0.849089	2740863	25476	24081777	22224999	152.212
22269	1	1329180999	167499	141995	0.84774	2673604	25355	23516090	21663738	152.566
22281	1	1329353069	170928	145009	0.848364	2728287	25679	23989416	22107654	152.457
